Webb Society Deep-Sky Observer's Handbook, Volume 4, Galaxies
A Catalogue of Galaxies, 430 - 700, pg xxx - xxx

WS     : Webb Society Catalog Index
Cat    : Catalog identifier, e.g., NGC or IC
RA     : Right Ascension
Dec    : Declination
m      : Apparent magnitude
AD     : Apparent diameter
Con Cl : Concentration classes of clusters
Con    : Constellation

|WS  |Cat          |RA     |Dec   |m    |AD     |Con Cl |Con|
| 659|NGC 5297     |
| 660|NGC 5371     |
| 661|NGC 5457     |
| 661|M101         |
| 662|NGC 5474     |
| 662|VV 344       |
| 663|NGC 5533     |
| 664|NGC 5600     |
| 665|NGC 5665     |
| 665|Arp 49       |
| 666|NGC 5676     |
| 667|NGC 5678     |
| 668|NGC 5746     |
| 669|NGC 5820     |
| 669|Arp 136      |
| 670|NGC 5846     |
| 671|NGC 5850     |
| 672|NGC 5866     |
| 672|M102         |
| 673|NGC 5879     |
| 674|NGC 5907     |
| 675|NGC 5929     |
| 675|NGC 5903     |
| 675|Arp 90       |
| 675|I Zw 12      |
| 676|NGC 6052     |
| 676|NGC 6064     |
| 676|VV 86        |
| 676|Arp 209      |
| 676|Mkn 297      |
| 677|NGC 6181     |
| 678|NGC 6217     |
| 678|Arp 185      |
| 679|NGC 6207     |
| 680|NGC 6384     |
| 681|NGC 6503     |
| 682|NGC 6643     |
| 683|NGC 6764     |
| 684|NGC 6822     |
| 685|NGC 6946     |
| 685|Arp 29       |
| 686|BL Lac       |22 00.8|+42 01|12.0 |       |       |Lac|
| 687|NGC 7217     |
| 688|NGC 7331     |
| 689|NGC 7335     |
| 690|NGC 7448     |
| 690|Arp 13       |
| 691|NGC 7463     |
| 692|NGC 7464     |
| 693|NGC 7465     |
| 693|Mkn 313      |
| 694|NGC 7469     |
| 694|Arp 298      |
| 695|IC 5285      |
| 696|NGC 7479     |
| 697|NGC 7603     |
| 697|Arp 92       |
| 698|NGC 7640     |
| 698|VV 280       |
| 699|NGC 7678     |
| 699|Arp 28       |
| 700|NGC 7973     |
