# Retrieved from https://en.wikipedia.org/wiki/Herschel-400-Catalogue, open with lib.stars.catalog.HerschelCatalog.java

# Column - Description
# A - Herschel number
# B - Messier or Caldwell number
# C - NGC or IC number
# D - Common name
# E - Type of object
# F - Distance in kilo light years (kly)
# G - Constellation
# H - Apparent visual magnitude
# I - Additional Messier or Caldwell number
# J - Additional NGC or IC number
# K - Additional common name

102,,NGC 2421,,Open Cluster,,Puppis,8.3,,,
103,M47,NGC 2422,,Open Cluster,1.6,Puppis,4.4,,,
104,,NGC 2423,,Open Cluster,,Puppis,6.7,,,
105,,NGC 2438,,Planetary Nebula,2.9,Puppis,10,,,
106,,NGC 2440,,Planetary Nebula,4,Puppis,11,,,
107,,NGC 2479,,Open Cluster,,Puppis,10,,,
108,,NGC 2482,,Open Cluster,,Puppis,7.3,,,
109,,NGC 2489,,Open Cluster,,Puppis,7.9,,,
110,C54,NGC 2506,,Open Cluster,10,Monoceros,7.6,,,
111,,NGC 2509,,Open Cluster,9.5,Puppis,9,,,
112,,NGC 2527,,Open Cluster,,Puppis,6.5,,,
113,,NGC 2539,,Open Cluster,4.4,Puppis,6.5,,,
114,M48,NGC 2548,,Open Cluster,1.5,Hydra,5.8,,,
115,,NGC 2567,,Open Cluster,,Puppis,7.4,,,
116,,NGC 2571,,Open Cluster,,Puppis,7,,,
117,,NGC 2613,,Galaxy,50000,Pyxis,10.4,,,
118,,NGC 2627,,Open Cluster,6.63,Pyxis,8,,,
119,,NGC 2655,,Galaxy,63000,Camelopardalis,10.1,,,
120,,NGC 2681,,Galaxy,50000,Ursa Major,10.3,,,
121,,NGC 2683,,Galaxy,16000,Lynx,9.7,,,
122,,NGC 2742,,Galaxy,,Ursa Major,11.7,,,
123,,NGC 2768,,Galaxy,65000,Ursa Major,10,,,
124,C48,NGC 2775,,Galaxy,55000,Cancer,10.3,,,
125,,NGC 2782,,Galaxy,70000,Lynx,11.5,,,
126,,NGC 2787,,Galaxy,25000,Ursa Major,10.8,,,
127,,NGC 2811,,Galaxy,,Hydra,11.3,,,
128,,NGC 2841,,Galaxy,31000,Ursa Major,9.3,,,
129,,NGC 2859,,Galaxy,23000,Leo Minor,10.7,,,
130,,NGC 2903,,Galaxy,20500,Leo,8.9,,,
131,,NGC 2950,,Galaxy,49800,Ursa Major,11,,,
132,,NGC 2964,,Galaxy,60800,Leo,11.3,,,
133,,NGC 2974,,Galaxy,89000,Sextans,10.8,,,
134,,NGC 2976,,Galaxy,12000,Ursa Major,10.2,,,
135,,NGC 2985,,Galaxy,70100,Ursa Major,10.5,,,
136,M82,NGC 3034,Cigar Galaxy,Galaxy,11000,Ursa Major,8.4,,,
137,,NGC 3077,,Galaxy,12000,Ursa Major,9.9,,,
138,,NGC 3079,,Galaxy,50000,Ursa Major,10.6,,,
139,C53,NGC 3115,Spindle Galaxy,Galaxy,22000,Sextans,9.2,,,
140,,NGC 3147,,Galaxy,130000,Draco,10.7,,,
141,,NGC 3166,,Galaxy,57000,Sextans,10.6,,,
142,,NGC 3169,,Galaxy,57000,Sextans,10.5,,,
143,,NGC 3184,,Galaxy,25000,Ursa Major,9.8,,,
144,,NGC 3190,,Galaxy,80000,Leo,11,,,
145,,NGC 3193,,Galaxy,80000,Leo,10.9,,,
146,,NGC 3198,,Galaxy,45000,Ursa Major,10.4,,,
147,,NGC 3226,,Galaxy,58700,Leo,11.4,,,
148,,NGC 3227,,Galaxy,58700,Leo,10.8,,,
149,C59,NGC 3242,Ghost of Jupiter,Planetary Nebula,1,Hydra,9,,,
150,,NGC 3245,,Galaxy,,Leo Minor,10.8,,,
151,,NGC 3277,,Galaxy,,Leo Minor,11.7,,,
152,,NGC 3294,,Galaxy,,Leo Minor,11.7,,,
153,,NGC 3310,,Galaxy,50000,Ursa Major,10.9,,,
154,,NGC 3344,,Galaxy,22500,Leo Minor,10,,,
155,,NGC 3377,,Galaxy,35000,Leo,10.2,,,
156,M105,NGC 3379,,Galaxy,38000,Leo,9.3,,,
157,,NGC 3384,,Galaxy,35000,Leo,10,,,
158,,NGC 3395,,Galaxy,,Leo Minor,12.1,,,
159,,NGC 3412,,Galaxy,,Leo,10.6,,,
160,,NGC 3414,,Galaxy,,Leo Minor,10.8,,,
161,,NGC 3432,,Galaxy,,Leo Minor,11.3,,,
162,,NGC 3486,,Galaxy,27000,Leo Minor,10.3,,,
163,,NGC 3489,,Galaxy,29000,Leo,10.3,,,
164,,NGC 3504,,Galaxy,,Leo Minor,11.1,,,
165,,NGC 3521,,Galaxy,30000,Leo,8.9,,,
166,M108,NGC 3556,,Galaxy,45000,Ursa Major,10.1,,,
167,,NGC 3593,,Galaxy,20000,Leo,11,,,
168,,NGC 3607,,Galaxy,,Leo,10,,,
169,,NGC 3608,,Galaxy,,Leo,11,,,
170,,NGC 3610,,Galaxy,70000,Ursa Major,10.8,,,
171,,NGC 3613,,Galaxy,,Ursa Major,12,,,
172,,NGC 3619,,Galaxy,,Ursa Major,13,,,
173,,NGC 3621,,Galaxy,22000,Hydra,10,,,
174,C40,NGC 3626,,Galaxy,86000,Leo,10.9,,,
175,,NGC 3628,,Galaxy,35000,Leo,9.5,,,
176,,NGC 3631,,Galaxy,35000,Ursa Major,10.4,,,
177,,NGC 3640,,Galaxy,75400,Leo,10.3,,,
178,,NGC 3655,,Galaxy,,Leo,11.6,,,
179,,NGC 3665,,Galaxy,85600,Ursa Major,10.8,,,
180,,NGC 3675,,Galaxy,50000,Ursa Major,11,,,
