https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|IC 732  |11 46.0|+20 26| 15.0  |p           |                  |  0.4       |Gx         |233.55| 73.62|H           |Leo          |vF, v dif                                            |                                             GALAXY|
|NGC 4070|12 04.2|+20 26| 14.0  |p           |                  |            |Gx         |242.21| 77.30|R           |Com          |F, vS                                                |                                             GALAXY|
|NGC 5513|14 13.2|+20 26| 14.0  |p           |                  |            |Gx         | 17.61| 70.16|R           |Boo          |pB, pL, iR                                           |                                             GALAXY|
|IC 701  |11 30.8|+20 28|       |            |                  |  0.7       |Gx         |228.48| 70.42|V           |Leo          |eF, vS, R, 2 pB st sf                                |                                             GALAXY|
|IC 4113 |13 03.1|+20 28|       |            |                  |            |U          |325.36| 82.82|D           |Com          |vF, vS, iF, N                                        |                                       UNIDENTIFIED|
|IC 2355 |08 24.9|+20 28|       |            |                  |            |U          |203.57| 29.35|D           |Cnc          |pB, S, R, stell N                                    |                                       UNIDENTIFIED|
|NGC 3787|11 39.7|+20 29| 14.0  |p           |                  |            |Gx         |231.15| 72.32|R           |Leo          |vF, vS, R, *15 p                                     |                                             GALAXY|
|NGC 3943|11 52.9|+20 30| 14.0  |p           |                  |            |Gx         |236.16| 75.08|R           |Leo          |pF, pS, E, *8 p 24s                                  |                                             GALAXY|
|NGC 4092|12 05.9|+20 30| 14.0  |p           |                  |            |Gx         |243.00| 77.66|R           |Com          |F, pS, R, *11 np                                     |                                             GALAXY|
|NGC 4529|12 31.8|+20 30| 15.0  |p           |                  |            |Gx         |267.79| 82.00|R           |Com          |eF, L                                                |                                             GALAXY|
|NGC 2558|08 19.4|+20 30| 14.0  |p           |                  |            |Gx         |203.02| 28.15|R           |Cnc          |vF, S, R, sbM, stellar                               |                                             GALAXY|
|NGC 2174|06 09.7|+20 30|       |            |                  | 40.0       |Nb         |190.04|  0.50|S           |Ori          |eF, bet 3 vF st                                      |                                  REFLECTION NEBULA|
|NGC 924 |02 26.8|+20 30| 14.0  |p           |                  |            |Gx         |151.26|-37.07|R           |Ari          |eF, vS, iR                                           |                                             GALAXY|
|NGC 5702|14 38.8|+20 31| 14.0  |p           |                  |            |Gx         | 23.65| 64.63|R           |Boo          |vF, vS                                               |                                             GALAXY|
|IC 856  |13 10.7|+20 32|       |            |                  |            |U          |337.68| 82.07|D           |Com          |F, E, lbM                                            |                                       UNIDENTIFIED|
|IC 2348 |08 24.4|+20 32| 16.0  |p           |                  |  0.6       |Gx         |203.45| 29.26|M           |Cnc          |F, pS, mE 45deg , bM                                 |                                             GALAXY|
|NGC 6052|16 05.2|+20 32| 13.0  |            |                  |  1.0       |Gx         | 35.29| 45.47|S           |Her          |F, pL, iR; = 6064?                                   |                                             GALAXY|
|IC 700  |11 29.3|+20 33| 15.0  |p           |                  |  0.8       |Gx         |227.84| 70.13|M           |Leo          |pS, R, lbM                                           |                                             GALAXY|
|NGC 4093|12 05.9|+20 33| 15.0  |p           |                  |            |Gx         |242.80| 77.69|R           |Com          |eF, vS                                               |                                             GALAXY|
|IC 4162 |13 05.1|+20 33|       |            |                  |            |U          |329.05| 82.72|D           |Com          |vF, S, iF, N, *14 sp                                 |                                       UNIDENTIFIED|
|IC 4164 |13 05.2|+20 33|       |            |                  |            |OC         |329.22| 82.71|X           |Com          |vF, S, neb Cl?; *14 n                                |                                  OPEN STAR CLUSTER|
|NGC 6064|16 07.0|+20 33|       |            |                  |            |-          | 35.50| 45.07|R           |Her          |vF, vS, r, pB* sf; = 6052?                           |                                       UNIDENTIFIED|
|NGC 4089|12 05.6|+20 34| 15.0  |p           |                  |            |Gx         |242.55| 77.64|R           |Com          |vF, S, R, p of 2                                     |                                             GALAXY|
|NGC 4091|12 05.7|+20 34| 15.0  |p           |                  |            |Gx         |242.62| 77.66|R           |Com          |vF, S, R, f of 2                                     |                                             GALAXY|
|NGC 4095|12 06.0|+20 35| 14.0  |p           |                  |            |Gx         |242.74| 77.73|R           |Com          |vF, vS                                               |                                             GALAXY|
|NGC 2341|07 09.3|+20 35| 14.0  |p           |                  |  1.1       |Gx         |196.25| 13.01|S           |Gem          |vF, vS                                               |                                             GALAXY|
|IC 2968 |11 52.6|+20 36| 14.0  |p           |                  |  0.4       |Gx         |235.69| 75.06|M           |Leo          |eF, vS, 3937 f 12s                                   |                                             GALAXY|
|IC 868  |13 17.4|+20 36| 15.0  |p           |                  |            |Gx         |346.57| 81.18|Z           |Com          |vF, R, lbM                                           |                                             GALAXY|
|IC 870  |13 17.5|+20 36|       |            |                  |            |U          |346.69| 81.16|D           |Com          |vF, S, R, lbM                                        |                                       UNIDENTIFIED|
|NGC 4098|12 06.1|+20 37| 14.0  |p           |                  |            |Gx         |242.67| 77.77|R           |Com          |eF, eS, R, bM                                        |                                             GALAXY|
|IC 1052 |14 44.2|+20 37| 15.0  |p           |                  |  1.1       |Gx         | 24.85| 63.47|U           |Boo          |neb *12                                              |                                             GALAXY|
|IC 3899 |12 55.7|+20 38|       |            |                  |            |U          |311.69| 83.43|D           |Com          |vF, S                                                |                                       UNIDENTIFIED|
|NGC 2342|07 09.4|+20 38| 13.0  |p           |                  |  1.6       |Gx         |196.22| 13.06|S           |Gem          |pF, S, lE, vlbM                                      |                                             GALAXY|
|NGC 3937|11 52.7|+20 39| 14.0  |p           |                  |            |Gx         |235.56| 75.11|R           |Leo          |vF, cS, R; = IC 2968                                 |                                             GALAXY|
|NGC 4099|12 06.1|+20 39|       |            |                  |            |-          |242.54| 77.79|R           |Com          |eF, eS                                               |                                       UNIDENTIFIED|
|NGC 4204|12 15.2|+20 39| 13.0  |p           |                  |  4.2       |Gx         |249.05| 79.49|S           |Com          |vF, cL, iR, vgbM                                     |                                             GALAXY|
|IC 867  |13 17.2|+20 39| 15.0  |p           |                  |  1.5       |Gx         |346.56| 81.25|U           |Com          |vF, R, lbM                                           |                                             GALAXY|
|IC 235  |02 32.8|+20 39| 14.7  |            |                  |  0.5       |Gx         |152.73|-36.29|V           |Ari          |F, S, dif                                            |                                             GALAXY|
|IC 3655 |12 41.2|+20 40|       |            |                  |            |U          |282.49| 83.13|D           |Com          |vF, vS, iF, *16 inv, other neb nr                    |                                       UNIDENTIFIED|
|IC 4138 |13 04.0|+20 40|       |            |                  |            |U          |327.55| 82.93|D           |Com          |F, vS, iF, N, *16 inv np; D*?                        |                                       UNIDENTIFIED|
|IC 1021 |14 29.2|+20 40| 15.0  |p           |                  |  1.2       |Gx         | 22.07| 66.78|U           |Boo          |F, S, iR                                             |                                             GALAXY|
|IC 1132 |15 40.0|+20 40| 14.0  |p           |                  |  1.1       |Gx         | 32.73| 51.11|M           |Ser          |no descr                                             |                                             GALAXY|
|IC 869  |13 17.5|+20 41|       |            |                  |            |U          |347.05| 81.23|D           |Com          |vF, S, R, lbM                                        |                                       UNIDENTIFIED|
|NGC 722 |01 54.8|+20 41| 14.0  |p           |                  |            |Gx         |142.34|-39.79|R           |Ari          |vF, vS, R, beta Ari n                                |                                             GALAXY|
|NGC 7815|00 03.4|+20 41|       |            |                  |            |-          |108.03|-40.79|R           |Peg          |F, S, lE, 7817 nf                                    |                                       UNIDENTIFIED|
|NGC 3650|11 22.6|+20 42| 15.0  |p           |                  |  1.9       |Gx         |225.73| 68.74|S           |Leo          |eF, S, R, bet 2 st                                   |                                             GALAXY|
|NGC 3883|11 46.8|+20 42| 14.0  |p           |                  |            |Gx         |233.00| 73.91|R           |Leo          |vF, cL                                               |                                             GALAXY|
|IC 864  |13 17.2|+20 42| 16.0  |p           |                  |  1.1       |Gx         |346.77| 81.29|U           |Com          |vF, pS, R, bMSN                                      |                                             GALAXY|
|IC 866  |13 17.2|+20 42| 16.0  |p           |                  |  1.1       |Gx         |346.77| 81.29|U           |Com          |vF, S, R, lbM                                        |                                             GALAXY|
|IC 163  |01 49.3|+20 42| 14.0  |p           |                  |  1.8       |Gx         |140.74|-40.16|T           |Ari          |F, pS, R, bM                                         |                                             GALAXY|
|IC 956  |13 54.7|+20 43| 16.0  |p           |                  |            |Gx         | 12.39| 74.20|Z           |Boo          |eF, vS, *14 n                                        |                                             GALAXY|
|NGC 3947|11 53.4|+20 45| 14.0  |p           |                  |  1.6       |Gx         |235.53| 75.30|S           |Leo          |F, pS, iE, lbM, **  p                                |                                             GALAXY|
|IC 2998 |12 05.9|+20 45|       |            |                  |            |U          |242.02| 77.81|D           |Com          |vF, others near                                      |                                       UNIDENTIFIED|
|NGC 6027|15 59.2|+20 45| 12.4  |            |                  |  2.2       |Gx         | 34.96| 46.87|S           |Ser          |eF, vF* inv, 2 vF st nr                              |                                             GALAXY|
|NGC 6442|17 46.9|+20 45| 14.0  |p           |                  |            |Gx         | 45.29| 23.13|R           |Her          |pF, S, iR, gbM                                       |                                             GALAXY|
|IC 1299 |19 22.6|+20 45|       |            |                  |            |OC         | 54.87|  2.79|X           |Vul          |S Cl of vF st                                        |                                  OPEN STAR CLUSTER|
|NGC 7817|00 04.0|+20 45| 12.0  |p           |                  |  3.7       |Gx         |108.23|-40.76|S           |Peg          |pF, cL, mE 45deg +/- , lbM                           |                                             GALAXY|
|NGC 7798|23 59.4|+20 45| 13.0  |p           |                  |  1.5       |Gx         |106.86|-40.49|S           |Peg          |pF, S, R, sbM, *10 sp                                |                                             GALAXY|
|IC 4163 |13 05.1|+20 46|       |            |                  |            |U          |329.78| 82.91|D           |Com          |F, vS, bM; spir?                                     |                                       UNIDENTIFIED|
|NGC 6460|17 49.6|+20 46| 14.0  |p           |                  |            |Gx         | 45.56| 22.55|R           |Her          |vF, pL, iR                                           |                                             GALAXY|
|IC 3759 |12 46.3|+20 47|       |            |                  |            |U          |292.19| 83.55|D           |Com          |vF, vS, iF, N, *15 sf 20"                            |                                       UNIDENTIFIED|
|IC 3858 |12 53.9|+20 47|       |            |                  |            |U          |308.13| 83.63|D           |Com          |F, vS, R, bM, neb *14 & *13 sp                       |                                       UNIDENTIFIED|
|NGC 3697|11 28.7|+20 48| 14.0  |p           |                  |            |Gx         |227.00| 70.10|R           |Leo          |eF, vS, E 90deg                                      |                                             GALAXY|
|IC 742  |11 51.0|+20 48| 15.0  |p           |                  |  1.3       |Gx         |234.33| 74.83|U           |Leo          |eeF, pS, R, pB* sp                                   |                                             GALAXY|
|IC 3740 |12 45.5|+20 49| 16.0  |p           |                  |            |Gx         |290.50| 83.54|Z           |Com          |pF, cS, E 0deg , bM                                  |                                             GALAXY|
|NGC 6458|17 49.2|+20 49| 15.0  |p           |                  |            |Gx         | 45.57| 22.66|R           |Her          |eF, vS, stellar                                      |                                             GALAXY|
|IC 5300 |23 16.6|+20 49| 16.0  |p           |                  |            |Gx         | 94.92|-36.84|Z           |Peg          |F, S, R, neb *15                                     |                                             GALAXY|
|IC 3689 |12 42.6|+20 51|       |            |                  |            |U          |284.65| 83.41|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|NGC 5518|14 13.9|+20 51| 15.0  |p           |                  |            |Gx         | 18.93| 70.18|R           |Boo          |F, vS, R, gbM                                        |                                             GALAXY|
|NGC 6452|17 48.0|+20 51| 15.0  |p           |                  |            |Gx         | 45.49| 22.93|R           |Her          |eeF, S                                               |                                             GALAXY|
|IC 5299 |23 16.3|+20 51|       |            |                  |            |U          | 94.86|-36.78|D           |Peg          |F, eS, *13 close s                                   |                                       UNIDENTIFIED|
|IC 3682 |12 42.3|+20 52|       |            |                  |            |U          |284.02| 83.40|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|IC 3683 |12 42.3|+20 52|       |            |                  |            |U          |284.02| 83.40|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|NGC 2569|08 21.5|+20 52| 15.0  |p           |                  |            |Gx         |202.83| 28.74|R           |Cnc          |vF, cE, 3 vS st f                                    |                                             GALAXY|
|IC 3677 |12 42.2|+20 53|       |            |                  |            |U          |283.79| 83.41|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|IC 3678 |12 42.2|+20 53|       |            |                  |            |U          |283.79| 83.41|D           |Com          |vF, vS, iF, N                                        |                                       UNIDENTIFIED|
|NGC 3954|11 53.7|+20 54| 14.0  |p           |                  |            |Gx         |235.13| 75.43|R           |Leo          |eF, R                                                |                                             GALAXY|
|NGC 2553|08 17.7|+20 54| 15.0  |p           |                  |            |Gx         |202.44| 27.92|R           |Cnc          |vF, S, glbM                                          |                                             GALAXY|
|NGC 6035|16 03.4|+20 54| 14.0  |p           |                  |  1.2       |Gx         | 35.60| 45.98|S           |Her          |vF, pL, lE, sf of 2                                  |                                             GALAXY|
|NGC 2570|08 21.5|+20 55| 15.0  |p           |                  |            |Gx         |202.77| 28.76|R           |Cnc          |eeF, L, R, n of 2                                    |                                             GALAXY|
|NGC 2556|08 19.2|+20 55| 15.0  |p           |                  |            |Gx         |202.56| 28.26|R           |Cnc          |vF, vS                                               |                                             GALAXY|
|NGC 2392|07 29.2|+20 55| 10.0  |p           |                  |  0.7       |Pl         |197.88| 17.41|S           |Gem          |B, S, R, *9 M, *8 nf 100"                            |                                   PLANETARY NEBULA|
|NGC 5910|15 19.3|+20 55| 15.0  |p           |                  |            |Gx         | 30.63| 55.79|R           |Ser          |vF, S, er                                            |                                             GALAXY|
|IC 2453 |09 15.8|+20 56| 15.0  |p           |                  |            |Gx         |207.85| 40.74|Z           |Cnc          |F, S, R, gbM, r                                      |                                             GALAXY|
|NGC 1655|04 46.2|+20 56|       |            |                  |            |U          |178.88|-15.61|DD          |Tau          |hazy *                                               |                                       UNIDENTIFIED|
|IC 3728 |12 45.1|+20 58|       |            |                  |            |U          |289.39| 83.67|D           |Com          |vF, vS, iF, N                                        |                                       UNIDENTIFIED|
|IC 3821 |12 50.0|+20 58|       |            |                  |            |U          |299.81| 83.83|D           |Com          |vF, vS, iF, N                                        |                                       UNIDENTIFIED|
|NGC 6032|16 03.0|+20 58| 15.0  |p           |                  |  1.8       |Gx         | 35.65| 46.09|S           |Her          |vF, pL, lE, vlbM, np of 2                            |                                             GALAXY|
|NGC 3948|11 53.4|+20 59| 15.0  |p           |                  |  0.5       |Gx         |234.71| 75.41|M           |Leo          |vF, stellar                                          |                                             GALAXY|
|NGC 2560|08 19.9|+20 59| 15.0  |p           |                  |  1.7       |Gx         |202.55| 28.43|S           |Cnc          |F, pL                                                |                                             GALAXY|
|NGC 976 |02 34.0|+20 59| 12.4  |            |                  |  1.7       |Gx         |152.84|-35.86|S           |Ari          |vF, vS, 4 F st nr                                    |                                             GALAXY|
|IC 3692 |12 42.9|+21 00| 15.0  |p           |                  |  1.0       |Gx         |284.85| 83.57|U           |Com          |pF, S, bM, spir                                      |                                             GALAXY|
|NGC 3929|11 51.7|+21 01| 14.0  |p           |                  |            |Gx         |233.88| 75.07|R           |Leo          |Cl, S, st F, vC                                      |                                             GALAXY|
|NGC 3940|11 52.7|+21 01| 14.0  |p           |                  |            |Gx         |234.30| 75.28|R           |Leo          |vF, cS, R                                            |                                             GALAXY|
|IC 851  |13 08.5|+21 02| 15.0  |p           |                  |  1.0       |Gx         |336.41| 82.77|M           |Com          |vF                                                   |                                             GALAXY|
|NGC 6591|18 14.0|+21 02|       |            |                  |            |Gx         | 48.13| 17.38|R           |Her          |eeF, vS, stell                                       |                                             GALAXY|
|NGC 3946|11 53.4|+21 03| 15.0  |p           |                  |            |Gx         |234.48| 75.44|R           |Leo          |vF, vlbM, dif                                        |                                             GALAXY|
|NGC 4055|12 03.7|+21 04|       |            |                  |            |-          |239.48| 77.54|R           |Com          |pB (decl very doubtful)                              |                                       UNIDENTIFIED|
|NGC 2563|08 20.6|+21 04| 12.3  |            |                  |  2.3       |Gx         |202.53| 28.61|S           |Cnc          |cF, S, R, bM                                         |                                             GALAXY|
|NGC 5842|15 04.8|+21 04| 15.0  |p           |                  |            |Gx         | 28.97| 59.06|R           |Boo          |eF, vS, R, lbM                                       |                                             GALAXY|
|IC 2061 |04 24.0|+21 05|       |            |                  |            |U          |175.31|-19.52|D           |Tau          |F, cS, R, susp                                       |                                       UNIDENTIFIED|
|NGC 6586|18 13.7|+21 05| 14.0  |p           |                  |            |Gx         | 48.15| 17.47|R           |Her          |eF, S, R                                             |                                             GALAXY|
|IC 5336 |23 36.3|+21 05|       |            |                  |            |U          |100.36|-38.47|D           |Peg          |F, S, E ns, vlbM                                     |                                       UNIDENTIFIED|
|NGC 7375|22 46.6|+21 05| 15.0  |p           |                  |            |Gx         | 87.68|-33.11|R           |Peg          |eF, vS, R                                            |                                             GALAXY|
|IC 3649 |12 40.8|+21 06|       |            |                  |            |U          |280.44| 83.50|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|IC 3660 |12 41.6|+21 06|       |            |                  |            |U          |281.99| 83.57|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|IC 1282 |18 14.1|+21 06|       |            |                  |            |?          | 48.21| 17.39|X           |Her          |vF, 2 or 3 st susp                                   |                                       UNIDENTIFIED|
|NGC 992 |02 37.2|+21 06| 13.0  |p           |                  |            |Gx         |153.57|-35.40|DD          |Ari          |pF, pS, mE, * s                                      |                                             GALAXY|
|NGC 6873|20 08.3|+21 06|       |            |                  |            |DS         | 60.52| -6.27|R           |Sge          |Cl, lC, st 10...13, **  inv                          |                                               STAR|
|NGC 3177|10 16.6|+21 07| 12.3  |            |                  |  1.7       |Gx         |214.04| 54.30|S           |Leo          |cF, S, R, psbM                                       |                                             GALAXY|
|IC 5254 |22 46.0|+21 07|       |            |                  |            |U          | 87.56|-33.00|D           |Peg          |F, vS, R, r, *14 att sf, 7375 f                      |                                       UNIDENTIFIED|
|IC 3673 |12 42.1|+21 08|       |            |                  |            |U          |282.88| 83.64|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|IC 4170 |13 05.6|+21 08|       |            |                  |            |U          |332.00| 83.19|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|NGC 2562|08 20.4|+21 08| 12.9  |            |                  |  1.4       |Gx         |202.44| 28.59|S           |Cnc          |vF, cS, R                                            |                                             GALAXY|
|NGC 6008|15 52.9|+21 08| 14.0  |p           |                  |            |Gx         | 34.84| 48.39|R           |Ser          |vF, R, pL, bM                                        |                                             GALAXY|
|IC 5331 |23 33.5|+21 08| 15.0  |p           |                  |  1.1       |Gx         | 99.62|-38.18|U           |Peg          |F, S, fan, gbM                                       |                                             GALAXY|
|IC 5337 |23 36.4|+21 09|       |            |                  |  0.9       |Gx         |100.42|-38.42|V           |Peg          |F, S, R, gbMN                                        |                                             GALAXY|
|IC 5338 |23 36.5|+21 09| 13.8  |            |                  |  1.1       |Gx         |100.45|-38.43|S           |Peg          |F, S, lE ns, gbMN                                    |                                             GALAXY|
|IC 5317 |23 23.4|+21 09| 15.0  |p           |                  |            |Gx         | 96.89|-37.23|Z           |Peg          |F, S, R, gbMN, r                                     |                                             GALAXY|
|IC 3730 |12 45.1|+21 11| 14.6  |            |                  |  0.4       |Gx         |288.93| 83.88|V           |Com          |pB, vS, R, bM, in dif neb                            |                                             GALAXY|
|NGC 6827|19 48.9|+21 13|       |            |                  |            |OC         | 58.27| -2.34|R           |Vul          |vF, E, dif, sev st inv                               |                                  OPEN STAR CLUSTER|
|IC 5316 |23 21.9|+21 13|       |            |                  |            |U          | 96.53|-37.02|D           |Peg          |vF, vS, R, N, stell                                  |                                       UNIDENTIFIED|
|NGC 4084|12 05.3|+21 14| 15.0  |p           |                  |            |Gx         |239.73| 77.95|R           |Com          |F, S                                                 |                                             GALAXY|
|NGC 1988|05 37.5|+21 14|       |            |                  |            |SS         |185.59| -5.62|R           |Tau          |!!!, variable (?)                                    |                                               STAR|
|NGC 6571|18 10.9|+21 14| 15.0  |p           |                  |            |Gx         | 48.03| 18.13|R           |Her          |eF, vS, stell                                        |                                             GALAXY|
|IC 5104 |21 21.5|+21 14| 14.0  |p           |                  |  1.8       |Gx         | 71.10|-19.88|U           |Peg          |F, vS, E ns, dif, *14 nr                             |                                             GALAXY|
|IC 5329 |23 33.3|+21 14| 16.0  |p           |                  |  1.8       |Gx         | 99.61|-38.07|U           |Peg          |vF, S, E 250deg                                      |                                             GALAXY|
|NGC 4059|12 03.9|+21 19|       |            |                  |            |-          |238.59| 77.71|R           |Com          |pB (decl very doubtful)                              |                                       UNIDENTIFIED|
|IC 885  |13 22.6|+21 19| 15.0  |p           |                  |  0.8       |Gx         |355.31| 80.83|M           |Com          |vF, pS, R                                            |                                             GALAXY|
|IC 2338 |08 23.6|+21 20|       |            |                  |  0.6       |Gx         |202.52| 29.36|V           |Cnc          |F, vS, bMN                                           |                                             GALAXY|
|IC 2339 |08 23.6|+21 20|       |            |                  |  1.2       |Gx         |202.52| 29.36|V           |Cnc          |F, S, R, bMN                                         |                                             GALAXY|
|NGC 2545|08 14.2|+21 21| 12.4  |            |                  |  2.2       |Gx         |201.64| 27.31|S           |Cnc          |F, S, lE 45deg , *8 np 4'                            |                                             GALAXY|
|IC 707  |11 33.6|+21 22| 14.0  |p           |                  |  0.6       |Gx         |226.72| 71.37|U           |Leo          |pF, pS, bM                                           |                                             GALAXY|
|NGC 3910|11 50.0|+21 22| 14.0  |p           |                  |            |Gx         |231.99| 74.87|R           |Leo          |S, R, mbM, *10-11 n 50"                              |                                             GALAXY|
|IC 2472 |09 26.5|+21 23| 15.0  |p           |                  |            |Gx         |208.31| 43.25|Z           |Leo          |F, S, R, dif                                         |                                             GALAXY|
|IC 2293 |08 19.6|+21 23| 15.0  |p           |                  |  0.8       |Gx         |202.10| 28.51|M           |Cnc          |F, pS, dif                                           |                                             GALAXY|
|NGC 7688|23 31.2|+21 24| 15.0  |p           |                  |            |Gx         | 99.12|-37.73|R           |Peg          |F, vS, dif, *11 201deg , 80"                         |                                             GALAXY|
|IC 3848 |12 52.7|+21 25|       |            |                  |            |U          |305.88| 84.28|D           |Com          |vF, vS, E 120deg                                     |                                       UNIDENTIFIED|
|IC 2253 |08 16.5|+21 25| 15.0  |p           |                  |            |Gx         |201.78| 27.84|Z           |Cnc          |F, vS, R, stell                                      |                                             GALAXY|
|NGC 6576|18 11.8|+21 25| 15.0  |p           |                  |            |Gx         | 48.29| 18.00|R           |Her          |eF, vS                                               |                                             GALAXY|
|IC 2341 |08 23.7|+21 26|       |            |                  |  1.6       |Gx         |202.42| 29.42|V           |Cnc          |F, S, R, bMN                                         |                                             GALAXY|
|NGC 6579|18 12.3|+21 26|       |            |                  |            |U          | 48.36| 17.90|DD          |Her          |F, p of Dneb                                         |                                       UNIDENTIFIED|
|NGC 6580|18 12.4|+21 26|       |            |                  |            |U          | 48.37| 17.88|DD          |Her          |F, f of Dneb                                         |                                       UNIDENTIFIED|
|NGC 606 |01 34.9|+21 26| 14.0  |p           |                  |            |Gx         |136.24|-40.31|R           |Psc          |eF, pS, R, vlbM, r?                                  |                                             GALAXY|
|NGC 575 |01 30.8|+21 26| 14.0  |p           |                  |            |Gx         |135.01|-40.51|R           |Psc          |eF, pL, iR; = IC 1710                                |                                             GALAXY|
|IC 1710 |01 30.8|+21 26|       |            |                  |            |U          |135.01|-40.51|X           |Psc          |F, pL, dif, *13.5 att; = 575                         |                                       UNIDENTIFIED|
|NGC 2764|09 08.3|+21 27| 12.7  |            |                  |  1.7       |Gx         |206.50| 39.24|S           |Cnc          |cF, vS, R, er, bet 2 pB st                           |                                             GALAXY|
|NGC 2557|08 19.2|+21 27| 15.0  |p           |                  |  1.4       |Gx         |201.99| 28.44|S           |Cnc          |eF, eS, R, lbM                                       |                                             GALAXY|
|IC 3811 |12 49.4|+21 28|       |            |                  |            |U          |298.14| 84.32|D           |Com          |F, eS, iF, N                                         |                                       UNIDENTIFIED|
|NGC 5975|15 40.0|+21 28| 14.0  |p           |                  |            |Gx         | 33.95| 51.35|R           |Ser          |vF, vS, irrR, sev vF st inv                          |                                             GALAXY|
|NGC 6577|18 12.1|+21 28| 14.0  |p           |                  |            |Gx         | 48.37| 17.96|R           |Her          |vF, S                                                |                                             GALAXY|
|NGC 2598|08 30.0|+21 29| 13.7  |            |                  |  1.3       |Gx         |202.94| 30.82|S           |Cnc          |F, S                                                 |                                             GALAXY|
|NGC 2595|08 27.7|+21 29| 14.0  |p           |                  |  3.1       |Gx         |202.73| 30.31|S           |Cnc          |vF, pL, iF, R, D* sp 2'                              |                                             GALAXY|
|IC 2187 |07 22.7|+21 29|       |            |                  |            |U          |196.71| 16.24|D           |Gem          |F, S, R, dif, *11.5 vnr                              |                                       UNIDENTIFIED|
|IC 1552 |00 29.6|+21 29| 15.0  |p           |                  |  1.1       |Gx         |116.19|-41.10|U           |Psc          |F, pL, dif                                           |                                             GALAXY|
|NGC 2903|09 32.2|+21 30|  8.9  |            |                  | 12.6       |Gx         |208.72| 44.55|S           |Leo          |cB, vL, E, gmbM, r, sp of 2                          |                                             GALAXY|
|IC 4181 |13 06.1|+21 30|       |            |                  |            |U          |334.40| 83.46|D           |Com          |cF, vS, R, bM                                        |                                       UNIDENTIFIED|
|IC 4183 |13 06.2|+21 30|       |            |                  |            |U          |334.57| 83.44|D           |Com          |F, vS, iF, N                                         |                                       UNIDENTIFIED|
|NGC 2597|08 30.0|+21 30| 15.0  |p           |                  |  1.4       |Gx         |202.92| 30.82|U           |Cnc          |eF, vS                                               |                                             GALAXY|
|IC 2188 |07 22.7|+21 30|       |            |                  |            |U          |196.69| 16.24|D           |Gem          |F, S, dif, FN                                        |                                       UNIDENTIFIED|
|NGC 6060|16 05.9|+21 30| 14.0  |p           |                  |  2.2       |Gx         | 36.68| 45.61|S           |Her          |eF, E, sbM                                           |                                             GALAXY|
|NGC 2905|09 32.2|+21 31| 10.0  |p           |                  | 13.3       |Gx         |208.69| 44.55|U           |Leo          |vF, cL, R, psbM, r, nf of 2                          |                                             GALAXY|
|IC 3736 |12 45.3|+21 31| 16.0  |p           |                  |  0.5       |Gx         |288.62| 84.22|M           |Com          |pF, vS, E 155deg , bM                                |                                             GALAXY|
|IC 1596 |00 54.7|+21 31| 15.0  |p           |                  |  2.5       |Gx         |123.94|-41.35|U           |Psc          |F, S, E pf, gbM                                      |                                             GALAXY|
|IC 2186 |07 22.7|+21 32|       |            |                  |            |U          |196.66| 16.26|D           |Gem          |F, S, R, gbM, r                                      |                                       UNIDENTIFIED|
|NGC 6186|16 34.4|+21 33| 14.0  |p           |                  |  1.8       |Gx         | 39.47| 39.31|S           |Her          |eF, vS, E                                            |                                             GALAXY|
|NGC 3221|10 22.3|+21 34| 14.0  |p           |                  |  3.3       |Gx         |213.97| 55.71|S           |Leo          |eF, mE, ray                                          |                                             GALAXY|
|NGC 2420|07 38.5|+21 34|  8.3  |            |                  | 10.0       |OC         |198.12| 19.66|S           |Gem          |Cl, cL, Ri, C, st 11...18                            |                                  OPEN STAR CLUSTER|
|IC 1269 |17 52.1|+21 34|       |            |                  |  1.9       |Gx         | 46.60| 22.30|V           |Her          |eeF, pL, R, 2 F st; *10 sp 4'                        |                                             GALAXY|
|NGC 7786|23 55.4|+21 35| 14.0  |p           |                  |            |Gx         |105.99|-39.44|R           |Peg          |pF, pS, lE, vF st inv, f of 2                        |                                             GALAXY|
|NGC 3758|11 36.4|+21 36| 15.0  |p           |                  |            |Gx         |226.80| 72.06|R           |Leo          |pB, S, R, bM, *8.5 3' f                              |                                             GALAXY|
|NGC 6748|19 03.8|+21 36|       |            |                  |            |-          | 53.61|  7.08|R           |Vul          |pB, vS, bM                                           |                                       UNIDENTIFIED|
