https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 643 |01 35.1|-75 33| 13.0  |p           |                  |            |Gb         |299.33|-41.27|AA          |Hyi          |vF, pS, R, vglbM                                     |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 2148 |05 39.2|-75 31|       |            |                  |            |U          |286.88|-30.70|D           |Men          |vF, vS, bM                                           |                                       UNIDENTIFIED|
|IC 2134 |05 23.0|-75 27|       |            |                  |            |U          |287.05|-31.70|D           |Men          |cF, vS                                               |                                       UNIDENTIFIED|
|NGC 2203|06 04.7|-75 26|       |            |                  |            |OC         |286.56|-29.12|R           |Men          |F Cl                                                 |                                  OPEN STAR CLUSTER|
|IC 2164 |06 06.9|-75 22|       |            |                  |  1.3       |Gx         |286.47|-28.99|C           |Men          |eF, eeS, R, stell N                                  |                                             GALAXY|
|IC 2140 |05 33.2|-75 22|       |            |                  |            |OC         |286.79|-31.10|X           |Men          |eF, vS; eS Cl?                                       |                                  OPEN STAR CLUSTER|
|IC 2161 |05 57.2|-75 08|       |            |                  |            |U          |286.26|-29.62|D           |Men          |eF, vS, bM, susp                                     |                                       UNIDENTIFIED|
|NGC 7098|21 46.8|-75 07|       |            |                  |  4.4       |Gx         |316.31|-36.80|V           |Oct          |pF, R, g, psmbM, am st                               |                                             GALAXY|
|IC 4825 |19 17.3|-72 45|       |            |                  |            |U          |322.37|-27.72|D           |Pav          |eF, eS, R                                            |                                       UNIDENTIFIED|
|IC 4578 |15 53.2|-74 50|       |            |                  |  2.1       |Gx         |314.12|-16.07|C           |Aps          |eF, eS, cE 140deg , bet 2 vF st                      |                                             GALAXY|
|IC 2146 |05 37.8|-74 46|       |            |                  |            |OC         |286.04|-30.92|X           |Men          |Cl, vF, bet 2 st                                     |                                  OPEN STAR CLUSTER|
|NGC 2190|06 00.8|-74 43|       |            |                  |            |Gb         |285.76|-29.42|R           |Men          |vF, pL, R, glbM                                      |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 339 |00 57.7|-74 29| 11.9  |            |                  |  2.2       |Gb         |302.36|-42.64|S           |Tuc          |F, L, R, vgbM                                        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 4654 |17 37.1|-74 23|       |            |                  |  1.7       |Gx         |318.82|-21.27|C           |Aps          |eF, eS, R, vmbM                                      |                                             GALAXY|
|NGC 2161|05 55.6|-74 21|       |            |                  |            |Gb         |285.37|-29.80|R           |Men          |F, pL, R, gpmbM                                      |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 1777|04 55.8|-74 17|       |            |                  |            |OC         |286.36|-33.74|R           |Men          |eF, E, ** 9 att, f                                   |                                  OPEN STAR CLUSTER|
|NGC 796 |01 56.7|-74 13|       |            |                  |            |C+N        |297.02|-42.15|R           |Hyi          |eF, vS, R, * np 25"                                  |                                  OPEN STAR CLUSTER|
|IC 5085 |21 13.4|-74 06|       |            |                  |            |U          |318.83|-35.46|D           |Pav          |vF, vS, R                                            |                                       UNIDENTIFIED|
|IC 5109 |21 33.9|-74 06|       |            |                  |            |U          |317.96|-36.67|D           |Ind          |vF, bM                                               |                                       UNIDENTIFIED|
|IC 5103 |21 29.2|-74 04|       |            |                  |  1.4       |Gx         |318.21|-36.42|C           |Pav          |eF, vS, R                                            |                                             GALAXY|
